kte_kurz,BR_diff
ZH,-1.0
BE,-1.0
LU,-1.0
UR,-1.0
SZ,-2.0
OW,0.0
NW,-1.0
GL,0.0
ZG,0.0
FR,0.0
SO,2.0
BS,-1.0
BL,-3.0
SH,-1.0
AR,1.0
AI,2.0
SG,-1.0
GR,1.0
AG,-4.0
TG,-1.0
TI,3.0
VD,4.0
VS,-1.0
NE,6.0
GE,-2.0
JU,-0.0
