year,mean_age,age_population
1848.0,47.285714285714285,0.0
1849.0,48.285714285714285,0.0
1850.0,49.285714285714285,0.0
1851.0,50.285714285714285,0.0
1852.0,51.285714285714285,0.0
1853.0,52.285714285714285,0.0
1854.0,53.285714285714285,0.0
1855.0,47.0,0.0
1856.0,48.0,0.0
1857.0,47.285714285714285,0.0
1858.0,48.285714285714285,0.0
1859.0,49.285714285714285,0.0
1860.0,50.285714285714285,29.104056590413617
1861.0,48.857142857142854,29.10475361620352
1862.0,49.857142857142854,29.10545064199342
1863.0,50.857142857142854,29.106147667783326
1864.0,51.0,29.10684469357323
1865.0,52.0,29.107541719363134
1866.0,53.0,29.108238745153034
1867.0,50.57142857142857,29.10893577094294
1868.0,51.0,29.109632796732843
1869.0,52.0,29.110329822522743
1870.0,51.714285714285715,29.111026848312648
1871.0,52.714285714285715,29.082114400979556
1872.0,53.285714285714285,29.053201953646465
1873.0,50.857142857142854,29.02428950631337
1874.0,51.857142857142854,28.995377058980278
1875.0,52.857142857142854,28.966464611647186
1876.0,48.57142857142857,28.937552164314095
1877.0,49.57142857142857,28.908639716981003
1878.0,50.57142857142857,28.87972726964791
1879.0,51.57142857142857,28.850814822314817
1880.0,52.57142857142857,28.821902374981725
1881.0,52.714285714285715,28.833603528862035
1882.0,53.714285714285715,28.845304682742345
1883.0,53.857142857142854,28.85700583662265
1884.0,54.857142857142854,28.86870699050296
1885.0,55.857142857142854,28.88040814438327
1886.0,56.857142857142854,28.892109298263577
1887.0,57.857142857142854,28.903810452143887
1888.0,58.857142857142854,28.915511606024197
1889.0,58.142857142857146,28.904104068253353
1890.0,59.142857142857146,28.892696530482507
1891.0,57.857142857142854,28.88128899271166
1892.0,57.57142857142857,28.869881454940817
1893.0,57.857142857142854,28.858473917169974
1894.0,56.0,28.847066379399127
1895.0,53.42857142857143,28.83565884162828
1896.0,54.42857142857143,28.824251303857437
1897.0,52.857142857142854,28.812843766086594
1898.0,53.857142857142854,28.801436228315747
1899.0,54.857142857142854,28.7900286905449
1900.0,56.285714285714285,28.778621152774058
1901.0,57.285714285714285,28.771644089987298
1902.0,58.285714285714285,28.76466702720054
1903.0,58.142857142857146,28.757689964413782
1904.0,59.142857142857146,28.750712901627026
1905.0,60.142857142857146,28.743735838840266
1906.0,61.142857142857146,28.736758776053506
1907.0,62.142857142857146,28.72978171326675
1908.0,61.0,28.72280465047999
1909.0,62.0,28.715827587693234
1910.0,63.0,28.708850524906474
1911.0,63.857142857142854,28.85457947437187
1912.0,54.857142857142854,29.000308423837268
1913.0,53.857142857142854,29.146037373302665
1914.0,54.857142857142854,29.291766322768062
1915.0,55.857142857142854,29.437495272233456
1916.0,56.857142857142854,29.583224221698853
1917.0,59.57142857142857,29.72895317116425
1918.0,57.714285714285715,29.874682120629647
1919.0,58.714285714285715,30.020411070095044
1920.0,51.857142857142854,30.16614001956044
1921.0,52.857142857142854,30.32673705960379
1922.0,53.857142857142854,30.487334099647136
1923.0,54.857142857142854,30.647931139690485
1924.0,55.857142857142854,30.80852817973383
1925.0,56.857142857142854,30.96912521977718
1926.0,57.857142857142854,31.12972225982053
1927.0,58.857142857142854,31.290319299863874
1928.0,59.857142857142854,31.450916339907224
1929.0,56.285714285714285,31.61151337995057
1930.0,55.285714285714285,31.77211041999392
1931.0,56.285714285714285,31.970337865075102
1932.0,57.285714285714285,32.16856531015628
1933.0,58.285714285714285,32.36679275523747
1934.0,56.285714285714285,32.565020200318656
1935.0,55.285714285714285,32.76324764539984
1936.0,56.285714285714285,32.96147509048102
1937.0,57.285714285714285,33.159702535562204
1938.0,58.285714285714285,33.35792998064339
1939.0,58.285714285714285,33.55615742572457
1940.0,56.42857142857143,33.75438487080575
1941.0,55.0,33.95261231588694
1942.0,56.0,33.990925320185674
1943.0,57.0,34.02923832448441
1944.0,56.714285714285715,34.067551328783146
1945.0,56.285714285714285,34.10586433308188
1946.0,57.285714285714285,34.14417733738061
1947.0,58.285714285714285,34.18249034167935
1948.0,57.57142857142857,34.220803345978084
1949.0,58.57142857142857,34.25911635027682
1950.0,60.142857142857146,34.297429354575556
1951.0,61.142857142857146,34.321286295377206
1952.0,58.285714285714285,34.34514323617886
1953.0,59.285714285714285,34.369000176980514
1954.0,61.0,34.392857117782164
1955.0,57.714285714285715,34.41671405858382
1956.0,58.714285714285715,34.44057099938547
1957.0,59.714285714285715,34.46442794018712
1958.0,60.714285714285715,34.48828488098877
1959.0,61.42857142857143,34.51214182179043
1960.0,55.857142857142854,34.53599876259208
1961.0,55.57142857142857,34.542987017527864
1962.0,55.857142857142854,34.549975272463655
1963.0,56.857142857142854,34.556963527399446
1964.0,57.857142857142854,34.56395178233523
1965.0,58.857142857142854,34.570940037271015
1966.0,57.285714285714285,34.577928292206806
1967.0,56.857142857142854,34.5849165471426
1968.0,57.857142857142854,34.59190480207838
1969.0,58.857142857142854,34.598893057014166
1970.0,58.142857142857146,34.60588131194996
1971.0,59.142857142857146,35.1388034258971
1972.0,58.142857142857146,35.27338538444954
1973.0,59.142857142857146,35.432247595802146
1974.0,57.714285714285715,35.62916719684187
1975.0,58.714285714285715,35.869478791463884
1976.0,59.714285714285715,36.209740960971544
1977.0,60.714285714285715,36.54486086871973
1978.0,58.57142857142857,36.831655973517755
1979.0,59.57142857142857,37.08841896684824
1980.0,59.42857142857143,37.324914377925026
1981.0,60.42857142857143,37.5121959015621
1982.0,61.42857142857143,37.69007708259845
1983.0,60.714285714285715,37.875756137599296
1984.0,57.42857142857143,38.0718691664827
