"Demografische Bilanz nach Alter"

"Demografische Komponente";"Staatsangehörigkeit (Kategorie)";"Geschlecht";"Alter";"1971";"1972";"1973";"1974";"1975";"1976";"1977";"1978";"1979";"1980";"1981";"1982";"1983";"1984";"1985";"1986";"1987";"1988";"1989";"1990";"1991";"1992";"1993";"1994";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018"
"Bestand am 1. Januar";"Staatsangehörigkeit - Total";"Geschlecht - Total";"15 Jahre";90908;92887;93068;94510;95323;97035;99136;102529;104328;102839;101606;98527;96444;92785;90353;87997;84054;80468;78527;75750;74572;75587;75854;77883;80662;80772;81866;80887;82290;82740;83013;83221;87206;87552;89464;90026;89913;86812;86536;85589;86677;84867;84096;83520;84661;80525;81032;80561
"Bestand am 1. Januar";"Staatsangehörigkeit - Total";"Geschlecht - Total";"16 Jahre";89003;91070;93608;93418;94368;94896;96752;99192;102630;104725;103407;101890;98655;96431;93158;90722;88543;84632;81375;79464;76094;76071;76902;76994;78645;81524;81263;82194;81350;82918;82411;83831;84059;87766;88130;89952;90623;90641;87643;87190;86334;87265;85495;84875;84237;85425;81507;81805
"Bestand am 1. Januar";"Staatsangehörigkeit - Total";"Geschlecht - Total";"17 Jahre";87836;89380;92033;94065;93223;93861;94434;96618;99351;102979;105236;103771;102007;98656;96861;93565;91347;89293;85730;82327;79892;77793;77709;78061;78026;79636;81983;81742;82687;82085;82956;83312;84619;84838;88402;88851;90625;91380;91549;88364;87747;86936;87907;86352;85664;85064;86685;82277
"Bestand am 1. Januar";"Staatsangehörigkeit - Total";"Geschlecht - Total";"18 Jahre";88593;88266;90716;92707;93954;92742;93315;94432;96682;99705;103475;105726;103921;101900;99113;97192;94282;92134;90330;86782;82785;81409;79094;78645;78857;78696;79970;82279;82214;83266;81638;83710;83956;85159;85418;88911;89283;91329;92208;92246;89084;88301;87563;88800;87128;86627;86703;87844
"Bestand am 1. Januar";"Staatsangehörigkeit - Total";"Geschlecht - Total";"19 Jahre";90922;88942;89803;91700;92643;93290;92152;93433;94385;97043;100572;104003;106085;103728;102435;99638;98064;95131;93183;91271;87375;84151;82640;80027;79516;79677;79098;80324;82864;82949;83532;82768;84640;84810;85923;86122;89623;90189;92457;93250;93283;90378;89657;89465;90369;88927;89200;88442
"Bestand am 1. Januar";"Staatsangehörigkeit - Total";"Geschlecht - Total";"20 Jahre";90167;91204;90298;90883;91784;91682;92582;92034;93104;94548;97545;101036;104314;105798;104282;102943;100319;98685;95707;93590;91626;88566;85159;83532;80966;80268;80169;79467;80816;83671;83255;84628;83693;85658;85766;86979;87015;91081;91776;93854;95171;95014;92082;91742;91373;92668;92380;91071
"Bestand am 1. Januar";"Staatsangehörigkeit - Total";"Geschlecht - Total";"21 Jahre";93583;90634;92497;91160;91074;90735;90947;92467;91886;93318;95214;98150;101492;104103;106124;104586;103463;100798;99169;96375;94426;93066;89652;85950;84217;81624;80578;80607;80213;81761;84229;84591;86095;85061;86895;86836;88149;88726;93192;93470;96146;96850;96534;94008;93302;93227;94875;93447
"Bestand am 1. Januar";"Staatsangehörigkeit - Total";"Geschlecht - Total";"22 Jahre";94664;94386;92224;93271;91339;89898;90075;90718;92342;92161;94040;96037;98790;101453;104511;106513;105193;104107;101492;99881;97534;95663;93800;90322;86679;84994;81879;80795;81168;80921;82762;85484;85879;87327;86464;87939;87858;89887;90781;94762;95916;97786;98524;98418;95596;95135;95443;95962
"Bestand am 1. Januar";"Staatsangehörigkeit - Total";"Geschlecht - Total";"23 Jahre";98421;95595;96447;93254;93448;90591;89529;90280;90897;92939;92972;95274;97230;99216;102107;105161;107305;106127;105022;102343;101578;99061;96769;94894;91284;87512;85289;82073;81495;82134;82513;84532;86942;87327;88616;87587;89072;89816;92228;92527;97690;97770;99704;100642;100536;97950;97644;96741
"Bestand am 1. Januar";"Staatsangehörigkeit - Total";"Geschlecht - Total";"24 Jahre";99993;99435;97741;97941;93598;92778;90128;89668;90672;91632;93785;94306;96548;97805;99923;102839;106123;108492;107241;106111;104963;103563;100711;98041;96050;92395;87921;85855;82949;82589;84209;84556;86388;88608;88942;90132;88953;91653;92823;94696;96329;100145;100170;102501;103338;103337;100957;99433
