"Demografische Bilanz nach Alter"

"Demografische Komponente";"Staatsangehörigkeit (Kategorie)";"Geschlecht";"Alter";"1971";"1972";"1973";"1974";"1975";"1976";"1977";"1978";"1979";"1980";"1981";"1982";"1983";"1984";"1985";"1986";"1987";"1988";"1989";"1990";"1991";"1992";"1993";"1994";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018"
"Bestand am 1. Januar";"Staatsangehörigkeit - Total";"Geschlecht - Total";"65 Jahre";59430;59716;62114;61258;61742;60039;61453;60363;60279;54190;53329;51901;53050;54274;62951;64113;62456;62864;62440;63185;63162;62137;63095;63867;65633;64622;65502;65269;67054;67338;67250;66079;68235;69644;70776;75765;80626;83810;86195;86975;90003;89878;90894;89319;90535;87637;90533;90397
"Bestand am 1. Januar";"Staatsangehörigkeit - Total";"Geschlecht - Total";"66 Jahre";57396;58267;58646;60926;60163;60454;58837;60177;59149;59144;53149;52356;51023;52046;53261;61648;62840;61170;61657;61180;61964;61938;60964;61929;62605;64434;63380;64254;64133;65903;66032;66171;65011;67215;68539;69659;74771;79507;82776;85110;85562;88767;88611;89561;88082;89081;86145;88779
"Bestand am 1. Januar";"Staatsangehörigkeit - Total";"Geschlecht - Total";"67 Jahre";55131;56159;57125;57471;59757;58783;59151;57689;58910;58018;57972;52191;51412;50030;51100;52235;60477;61686;60018;60586;60236;60882;60800;59886;60876;61514;63300;62298;63322;63237;64541;65111;65212;64043;66224;67607;68763;73910;78623;81839;83772;84466;87718;87569;88411;86899;87745;84715
"Bestand am 1. Januar";"Staatsangehörigkeit - Total";"Geschlecht - Total";"68 Jahre";52320;53858;54917;55869;56199;58407;57451;57847;56577;57709;56854;56879;51211;50380;49091;50125;51206;59264;60563;58911;59569;59276;59730;59726;58917;59886;60482;62262;61440;62469;62159;63636;64166;64322;63157;65424;66822;67959;73083;77627;80459;82815;83488;86856;86626;87320;85790;86481
"Bestand am 1. Januar";"Staatsangehörigkeit - Total";"Geschlecht - Total";"69 Jahre";51859;51028;52555;53650;54501;54837;57006;56129;56532;55341;56457;55676;55745;50134;49319;48085;49071;50123;58086;59431;57340;58460;58225;58720;58685;57886;58843;59450;61267;60539;61327;61170;62605;63278;63366;62318;64549;65958;67112;72222;76417;79492;81881;82537;85862;85534;86206;84564
"Bestand am 1. Januar";"Staatsangehörigkeit - Total";"Geschlecht - Total";"70 Jahre";49817;50377;49662;51193;52287;53052;53443;55611;54707;55169;54108;55218;54480;54503;49034;48231;47083;48037;49020;56959;58298;56157;57321;57184;57578;57555;56837;57767;58546;60275;59588;60434;60242;61701;62378;62429;61466;63710;65097;66255;71032;75469;78467;80903;81575;84759;84482;84953
"Bestand am 1. Januar";"Staatsangehörigkeit - Total";"Geschlecht - Total";"71 Jahre";45491;48288;48910;48298;49785;50799;51528;51987;54112;53330;53706;52803;53865;53154;53235;47817;47119;45991;46927;47900;55912;57079;54918;56098;56003;56375;56394;55705;56842;57539;59091;58633;59275;59287;60706;61418;61486;60612;62850;64194;65110;70109;74421;77452;79860;80555;83660;83230
"Bestand am 1. Januar";"Staatsangehörigkeit - Total";"Geschlecht - Total";"72 Jahre";43571;43924;46745;47312;46773;48291;49294;49987;50479;52541;51814;52204;51416;52368;51813;51963;46623;45899;44901;45873;46961;54557;55739;53764;54944;54739;55139;55229;54641;55736;56671;58050;57393;58279;58234;59669;60442;60505;59683;61888;63071;64165;69140;73399;76403;78648;79380;82377
"Bestand am 1. Januar";"Staatsangehörigkeit - Total";"Geschlecht - Total";"73 Jahre";40065;41943;42316;45059;45658;45224;46615;47661;48363;48864;50914;50237;50662;49895;50912;50363;50493;45346;44640;43751;44489;45692;53109;54387;52450;53582;53430;53928;54059;53543;54688;55518;56790;56344;57206;57167;58651;59348;59527;58694;60596;62137;63236;68140;72359;75186;77360;78096
"Bestand am 1. Januar";"Staatsangehörigkeit - Total";"Geschlecht - Total";"74 Jahre";37385;38310;40258;40664;43310;43917;43523;44997;45912;46684;47160;49208;48561;48919;48285;49296;48814;48946;44014;43310;42477;43234;44399;51596;53013;51052;52180;52069;52726;52756;52429;53574;54250;55524;55180;56127;56060;57576;58330;58383;57563;59563;61088;62135;67018;71154;74007;76048
"Bestand am 1. Januar";"Staatsangehörigkeit - Total";"Geschlecht - Total";"75 Jahre";35088;35624;36649;38533;39044;41513;42119;41842;43141;44120;44838;45392;47444;46710;47253;46613;47600;47137;47338;42600;41948;41196;41895;43066;50096;51485;49499;50667;50703;51394;51616;51199;52197;52985;54245;54003;54948;54879;56407;57141;57108;56476;58471;59946;61086;65706;69833;72610
"Bestand am 1. Januar";"Staatsangehörigkeit - Total";"Geschlecht - Total";"76 Jahre";31498;33342;33829;34879;36720;37214;39606;40219;40011;41277;42351;42945;43531;45564;44842;45388;44889;45903;45480;45682;40933;40504;39798;40511;41704;48509;49924;47892;49186;49299;50156;50182;49733;50792;51634;52905;52696;53761;53642;55141;55831;55882;55399;57332;58771;59840;64398;68354
"Bestand am 1. Januar";"Staatsangehörigkeit - Total";"Geschlecht - Total";"77 Jahre";29183;29717;31477;31993;33094;34902;35326;37682;38230;38114;39374;40438;41068;41501;43627;42873;43456;43116;43995;43675;43836;39442;39053;38411;39083;40195;46791;48189;46314;47614;47875;48679;48682;48259;49419;50259;51527;51358;52403;52245;53666;54492;54606;54226;56078;57390;58444;62950
"Bestand am 1. Januar";"Staatsangehörigkeit - Total";"Geschlecht - Total";"78 Jahre";26677;27298;27927;29587;30172;31235;32977;33468;35677;36197;36125;37277;38490;39027;39620;41616;40927;41463;41222;42110;41805;41929;37816;37406;36863;37505;38642;45125;46355;44647;46253;46308;46939;47149;46765;47924;48710;50079;49893;50898;50741;52205;53102;53247;52924;54599;55966;56973
"Bestand am 1. Januar";"Staatsangehörigkeit - Total";"Geschlecht - Total";"79 Jahre";23904;24818;25459;26067;27761;28230;29266;31034;31585;33630;34084;33985;35240;36370;37025;37641;39633;38916;39452;39351;40175;39917;40045;36189;35810;35285;35920;37062;43232;44499;43375;44524;44581;45265;45581;45217;46351;47258;48647;48364;49211;49266;50688;51575;51759;51431;53160;54419
"Bestand am 1. Januar";"Staatsangehörigkeit - Total";"Geschlecht - Total";"80 Jahre";21513;21996;23078;23500;24208;25748;26245;27292;28923;29583;31457;31942;31828;33079;34232;34861;35501;37473;36804;37380;36991;38157;37961;38045;34504;34127;33658;34252;35377;41328;43038;41573;42639;42743;43560;43911;43508;44649;45640;47086;46609;47562;47639;49148;50050;50083;49931;51480
"Bestand am 1. Januar";"Staatsangehörigkeit - Total";"Geschlecht - Total";"81 Jahre";18109;19602;20099;21195;21593;22369;23820;24274;25256;26926;27525;29207;29682;29671;30929;32016;32667;33340;35196;34576;35603;34878;36045;35777;36083;32673;32229;31872;32453;33580;39678;41041;39440;40652;40885;41650;42130;41697;42907;43815;45134;44801;45802;45947;47388;48254;48295;48170
"Bestand am 1. Januar";"Staatsangehörigkeit - Total";"Geschlecht - Total";"82 Jahre";16359;16432;17795;18317;19363;19707;20433;21916;22297;23259;24828;25314;26936;27438;27545;28723;29814;30421;31149;32886;32253;33270;32724;33866;33579;33891;30677;30313;30062;30596;32082;37460;38809;37392;38617;38829;39713;40207;39830;40990;41698;43201;42904;43899;44048;45370;46289;46390
"Bestand am 1. Januar";"Staatsangehörigkeit - Total";"Geschlecht - Total";"83 Jahre";14420;14637;14829;16049;16533;17578;17887;18541;19897;20383;21227;22610;23205;24529;25320;25342;26494;27557;28088;28766;30404;29877;30813;30493;31582;31285;31649;28639;28366;28163;29129;30106;35156;36581;35334;36440;36779;37579;38102;37789;38773;39678;41091;40870;41857;41982;43298;44158
"Bestand am 1. Januar";"Staatsangehörigkeit - Total";"Geschlecht - Total";"84 Jahre";12199;12707;12998;13163;14378;14822;15770;16169;16635;17981;18299;19127;20469;21021;22333;23152;23048;24270;25197;25729;26395;27927;27470;28394;28179;29195;28906;29389;26545;26350;26689;27100;28054;32765;34250;33059;34250;34570;35447;35872;35442;36563;37419;38788;38737;39590;39825;41049
"Bestand am 1. Januar";"Staatsangehörigkeit - Total";"Geschlecht - Total";"85 Jahre";10509;10633;11223;11435;11546;12684;13040;14063;14346;14834;16051;16342;17024;18260;18957;20115;20890;20911;22011;22934;23457;24053;25428;25163;26094;25843;26743;26524;26956;24449;24838;24549;25003;25847;30432;31810;30836;31929;32246;33119;33332;33241;34228;35049;36471;36307;37264;37430
"Bestand am 1. Januar";"Staatsangehörigkeit - Total";"Geschlecht - Total";"86 Jahre";8549;8991;9170;9691;9897;10100;11076;11456;12337;12608;13029;14130;14440;15096;16288;16930;17992;18813;18787;19775;20509;21016;21752;23004;22793;23614;23420;24305;24076;24622;22773;22627;22395;22709;23765;27973;29263;28533;29363;29821;30419;30858;30813;31793;32630;33966;33838;34724
"Bestand am 1. Januar";"Staatsangehörigkeit - Total";"Geschlecht - Total";"87 Jahre";7021;7170;7658;7805;8335;8500;8656;9604;9907;10694;10981;11385;12289;12557;13280;14275;14936;15945;16701;16643;17538;18213;18752;19428;20614;20381;21126;20888;21837;21705;22698;20554;20414;20224;20595;21565;25570;26710;26105;26893;27111;27883;28261;28158;29283;29947;31328;31238
"Bestand am 1. Januar";"Staatsangehörigkeit - Total";"Geschlecht - Total";"88 Jahre";5891;5816;6071;6406;6578;7104;7123;7369;8164;8457;9068;9373;9900;10526;10820;11578;12386;13172;13917;14556;14587;15465;15970;16572;17127;18236;17927;18632;18482;19309;19873;20163;18285;18166;18161;18436;19341;22982;24116;23570;24018;24525;25201;25623;25534;26560;27234;28441
"Bestand am 1. Januar";"Staatsangehörigkeit - Total";"Geschlecht - Total";"89 Jahre";4633;4752;4800;4999;5310;5477;5879;5991;6178;6842;7092;7606;7873;8369;8986;9228;9898;10605;11380;12023;12547;12586;13365;13754;14396;14798;15857;15577;16347;16177;17491;17459;17741;16023;16068;16122;16318;17179;20426;21420;20733;21432;21912;22494;22974;22767;23887;24476
"Bestand am 1. Januar";"Staatsangehörigkeit - Total";"Geschlecht - Total";"90 Jahre";3522;3727;3865;3864;4084;4353;4439;4871;4943;5172;5665;5826;6358;6500;7028;7505;7756;8357;8961;9616;10352;10604;10643;11395;11824;12249;12640;13561;13329;13963;14563;15090;15103;15383;13932;13987;14085;14315;15108;17906;18441;18326;18815;19271;19733;20153;20183;21018
"Bestand am 1. Januar";"Staatsangehörigkeit - Total";"Geschlecht - Total";"91 Jahre";2707;2740;2942;3014;3043;3317;3442;3587;3974;3990;4210;4619;4765;5119;5361;5740;6197;6434;6921;7420;7729;8609;8957;8913;9582;9781;10224;10541;11337;11213;12155;12216;12892;12806;13149;11906;12012;12102;12219;12969;15045;15892;15717;16203;16766;16964;17415;17526
"Bestand am 1. Januar";"Staatsangehörigkeit - Total";"Geschlecht - Total";"92 Jahre";1896;2093;2077;2296;2337;2381;2582;2748;2831;3125;3124;3344;3672;3791;4092;4373;4531;5020;5163;5603;6032;6286;7073;7309;7290;7768;7928;8355;8587;9248;9696;10001;10114;10682;10680;11033;10029;10086;10238;10257;10569;12673;13411;13235;13772;14103;14544;14799
"Bestand am 1. Januar";"Staatsangehörigkeit - Total";"Geschlecht - Total";"93 Jahre";1346;1400;1605;1619;1787;1808;1807;2022;2085;2194;2394;2453;2594;2833;3023;3235;3409;3589;3974;4144;4514;4802;5050;5596;5883;5833;6165;6281;6713;6831;7870;7761;8144;8221;8815;8778;9174;8337;8348;8443;8089;8782;10399;11080;10983;11349;11754;12128
"Bestand am 1. Januar";"Staatsangehörigkeit - Total";"Geschlecht - Total";"94 Jahre";1019;989;1032;1181;1196;1328;1326;1410;1486;1610;1672;1793;1873;1948;2198;2367;2478;2606;2747;3086;3293;3542;3760;3934;4426;4635;4513;4827;4947;5276;5744;6200;6192;6500;6723;7080;7166;7485;6719;6788;6540;6541;7026;8253;8982;8704;9260;9547
"Bestand am 1. Januar";"Staatsangehörigkeit - Total";"Geschlecht - Total";"95 Jahre";644;728;698;734;869;888;945;1002;1047;1126;1166;1221;1325;1363;1486;1625;1796;1847;1990;2080;2337;2493;2690;2838;3003;3423;3544;3469;3673;3753;4341;4451;4853;4778;5159;5357;5668;5704;5978;5310;5002;5170;5125;5439;6533;7025;6905;7287
"Bestand am 1. Januar";"Staatsangehörigkeit - Total";"Geschlecht - Total";"96 Jahre";396;437;523;466;534;617;625;692;715;748;805;839;883;945;994;1092;1156;1325;1359;1472;1573;1702;1826;1990;2138;2258;2581;2645;2587;2687;3010;3242;3370;3647;3714;3946;4198;4415;4487;4706;3765;3881;3891;3878;4184;4898;5372;5294
"Bestand am 1. Januar";"Staatsangehörigkeit - Total";"Geschlecht - Total";"97 Jahre";217;260;291;356;308;376;420;432;501;496;511;575;575;627;687;710;781;821;923;986;1104;1133;1255;1365;1455;1553;1640;1860;1931;1873;2048;2232;2371;2493;2747;2785;3034;3230;3375;3435;3071;2803;2825;2844;2901;3031;3693;3998
"Bestand am 1. Januar";"Staatsangehörigkeit - Total";"Geschlecht - Total";"98 Jahre";135;140;171;205;236;223;248;295;304;357;339;337;384;392;416;477;489;563;565;627;720;794;792;897;981;1001;1119;1169;1304;1387;1392;1486;1597;1671;1839;2022;2115;2314;2424;2558;2114;2219;1962;2040;2016;2041;2220;2628
"Bestand am 1. Januar";"Staatsangehörigkeit - Total";"Geschlecht - Total";"99 Jahre und mehr";189;185;199;214;258;274;307;359;408;459;491;538;551;538;562;566;620;677;761;790;1053;1155;1284;1352;1501;1718;1800;1910;2123;2303;2347;2645;2831;3015;3283;3650;4231;4717;5294;5943;3650;3817;3861;3857;3909;3856;3948;4035
