year,BR_closeness
1848.0,0.7117117117117117
1849.0,0.7117117117117117
1850.0,0.7117117117117117
1851.0,0.65
1852.0,0.65
1853.0,0.65
1854.0,0.6666666666666667
1855.0,0.6666666666666667
1856.0,0.6666666666666667
1857.0,0.6666666666666667
1858.0,0.6666666666666667
1859.0,0.6666666666666667
1860.0,0.5333333333333334
1861.0,0.5333333333333334
1862.0,0.5333333333333334
1863.0,0.4609375
1864.0,0.4609375
1865.0,0.4609375
1866.0,0.4140625
1867.0,0.4140625
1868.0,0.4140625
1869.0,0.4375
1870.0,0.4375
1871.0,0.4375
1872.0,0.4444444444444444
1873.0,0.4444444444444444
1874.0,0.4444444444444444
1875.0,0.4666666666666667
1876.0,0.4666666666666667
1877.0,0.4666666666666667
1878.0,0.42222222222222217
1879.0,0.42222222222222217
1880.0,0.42222222222222217
1881.0,0.5172413793103449
1882.0,0.5172413793103449
1883.0,0.5172413793103449
1884.0,0.5103448275862069
1885.0,0.5103448275862069
1886.0,0.5103448275862069
1887.0,0.503448275862069
1888.0,0.503448275862069
1889.0,0.503448275862069
1890.0,0.5034013605442177
1891.0,0.5034013605442177
1892.0,0.5510204081632654
1893.0,0.5918367346938775
1894.0,0.5918367346938775
1895.0,0.5918367346938775
1896.0,0.6666666666666667
1897.0,0.6666666666666667
1898.0,0.6666666666666667
1899.0,0.6394557823129252
1900.0,0.6394557823129252
1901.0,0.6394557823129252
1902.0,0.6749358426005132
1903.0,0.6749358426005132
1904.0,0.6749358426005132
1905.0,0.6988879384088966
1906.0,0.6988879384088966
1907.0,0.6988879384088966
1908.0,0.7108639863130881
1909.0,0.7108639863130881
1910.0,0.7108639863130881
1911.0,0.6931216931216931
1912.0,0.6931216931216931
1913.0,0.6931216931216931
1914.0,0.6931216931216931
1915.0,0.6931216931216931
1916.0,0.6931216931216931
1917.0,0.6719576719576719
1918.0,0.6719576719576719
1919.0,0.43386243386243384
1920.0,0.5343915343915344
1921.0,0.5343915343915344
1922.0,0.5252525252525253
1923.0,0.5252525252525253
1924.0,0.5252525252525253
1925.0,0.5151515151515151
1926.0,0.5151515151515151
1927.0,0.5151515151515151
1928.0,0.5252525252525253
1929.0,0.5252525252525253
1930.0,0.6544011544011545
1931.0,0.638655462184874
1932.0,0.638655462184874
1933.0,0.638655462184874
1934.0,0.638655462184874
1935.0,0.5935828877005349
1936.0,0.5935828877005349
1937.0,0.5935828877005349
1938.0,0.5935828877005349
1939.0,0.609625668449198
1940.0,0.609625668449198
1941.0,0.609625668449198
1942.0,0.609625668449198
1943.0,0.577319587628866
1944.0,0.5743740795287188
1945.0,0.5743740795287188
1946.0,0.5743740795287188
1947.0,0.6413843888070693
1948.0,0.6413843888070693
1949.0,0.6413843888070693
1950.0,0.6413843888070693
1951.0,0.6581632653061225
1952.0,0.6581632653061225
1953.0,0.6581632653061225
1954.0,0.6224489795918369
1955.0,0.6071428571428572
1956.0,0.6071428571428572
1957.0,0.6071428571428572
1958.0,0.6071428571428572
1959.0,0.6173469387755103
1960.0,0.8775510204081634
1961.0,0.8775510204081634
1962.0,0.8775510204081634
1963.0,0.8700000000000001
1964.0,0.8700000000000001
1965.0,0.8700000000000001
1966.0,0.8700000000000001
1967.0,0.8250000000000001
1968.0,0.8250000000000001
1969.0,0.8250000000000001
1970.0,0.8250000000000001
1971.0,0.81
1972.0,0.81
1973.0,0.81
1974.0,0.81
1975.0,0.8450000000000001
1976.0,0.8450000000000001
1977.0,0.8450000000000001
1978.0,0.8450000000000001
1979.0,0.8450000000000001
1980.0,0.8450000000000001
1981.0,0.8450000000000001
1982.0,0.8450000000000001
1983.0,0.8300000000000001
1984.0,0.8300000000000001
1985.0,0.8300000000000001
1986.0,0.8300000000000001
1987.0,0.795
1988.0,0.795
1989.0,0.795
1990.0,0.795
1991.0,0.7250000000000001
1992.0,0.7250000000000001
1993.0,0.7250000000000001
1994.0,0.7250000000000001
1995.0,0.8057142857142858
1996.0,0.8057142857142858
1997.0,0.8057142857142858
1998.0,0.8057142857142858
1999.0,0.7107142857142857
2000.0,0.7107142857142857
2001.0,0.7107142857142857
2002.0,0.7107142857142857
2003.0,0.5907142857142857
2004.0,0.8550000000000001
2005.0,0.8550000000000001
2006.0,0.8550000000000001
2007.0,0.7621428571428572
2008.0,0.4764285714285714
2009.0,0.4764285714285714
2010.0,0.4764285714285714
2011.0,0.5807142857142857
2012.0,0.5807142857142857
2013.0,0.5807142857142857
2014.0,0.5807142857142857
2015.0,0.5107142857142858
2016.0,0.7614285714285715
2017.0,0.7614285714285715
2018.0,0.7614285714285715
2019.0,0.7300000000000001
